Section,h[mm],b[mm],tw[mm],tf[mm],hi[mm],r1[mm],d[mm],k[mm],A[cm2],Iy[cm4],Iz[cm4],Ip[cm4],iy[mm],iz[mm],ip[mm],max Sy[cm3,max Sz[cm3],Wy[cm3],Wz[cm3],Ay[cm2],Az[cm2],It[cm4],"It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,z[cm3]","Wpl,ω[cm4]","αpl,y","αpl,z","αpl,ω","Apl,y[cm2]","Apl,z[cm2]",Npl[kN],"Vpl,y[kN]","Vpl,z[kN]","Mpl,y[kNm]","Mpl,z[kNm]",G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Aw[cm2],w[mm],w1[mm],Source
HEB 100,100.00,100.00,6.00,10.00,80.00,12.00,56.00,22.00,26.00,450.00,167.00,617.00,41.60,25.30,48.70,52.00,12.56,89.90,33.50,16.13,5.51,9.29,338.05,9.29,22.50,3375.00,23.40,150.00,56.25,104.00,51.00,225.00,1.16,1.52,1.50,20.00,5.40,612.02,271.36,73.27,24.50,12.09,20.40,0.57,2600.00,218.08,4.80,56.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 120,120.00,120.00,6.50,11.00,98.00,12.00,74.00,23.00,34.00,864.00,318.00,1182.00,50.40,30.60,59.00,82.50,19.85,144.00,52.90,21.34,7.08,13.90,654.43,12.64,32.70,9410.00,28.20,287.77,107.91,165.00,81.00,431.64,1.15,1.53,1.50,26.40,7.08,799.31,358.19,96.13,38.83,19.03,26.70,0.69,3400.00,201.77,6.37,66.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 140,140.00,140.00,7.00,12.00,116.00,12.00,92.00,24.00,43.00,1510.00,550.00,2060.00,59.30,35.80,69.30,123.00,29.44,216.00,78.50,27.06,8.86,20.10,1148.65,16.75,44.80,22480.00,33.00,501.79,188.16,246.00,120.00,752.64,1.14,1.53,1.50,33.60,8.96,1009.64,455.88,121.57,57.68,28.15,33.80,0.81,4300.00,187.21,8.12,76.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 160,160.00,160.00,8.00,13.00,134.00,15.00,104.00,28.00,54.30,2490.00,889.00,3379.00,67.80,40.50,79.00,177.00,41.71,311.00,111.00,33.77,11.61,31.40,1875.24,24.15,58.80,47940.00,37.70,815.31,305.76,354.00,170.00,1223.04,1.14,1.53,1.50,41.60,11.76,1275.18,564.42,159.56,83.20,39.94,42.60,0.92,5430.00,169.06,10.72,86.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 180,180.00,180.00,8.50,14.00,152.00,15.00,122.00,29.00,65.30,3830.00,1360.00,5190.00,76.60,45.70,89.20,241.00,56.80,426.00,151.00,40.66,13.83,42.30,2897.83,30.21,74.70,93750.00,42.50,1255.02,470.61,482.00,231.00,1882.44,1.13,1.53,1.50,50.40,14.11,1533.68,683.81,191.44,113.16,54.29,51.30,1.04,6530.00,159.27,12.92,100.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 200,200.00,200.00,9.00,15.00,170.00,18.00,134.00,33.00,78.10,5700.00,2000.00,7700.00,85.40,50.70,99.30,321.00,75.20,570.00,200.00,48.75,16.50,59.50,4283.05,39.67,92.50,171100.00,47.10,1849.73,693.75,642.00,306.00,2775.00,1.13,1.53,1.50,60.00,16.65,1835.29,814.06,225.90,151.03,71.87,61.30,1.15,7810.00,147.25,15.30,110.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 220,220.00,220.00,9.50,16.00,188.00,18.00,152.00,34.00,91.00,8090.00,2840.00,10930.00,94.30,55.90,109.60,414.00,96.98,736.00,258.00,57.11,19.05,76.80,6111.74,48.00,112.20,295400.00,52.00,2632.80,987.36,828.00,394.00,3949.44,1.13,1.53,1.50,70.40,19.38,2139.85,955.17,262.94,194.39,92.57,71.40,1.27,9100.00,139.56,17.86,120.00,0.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 240,240.00,240.00,10.00,17.00,206.00,21.00,164.00,38.00,106.00,11260.00,3920.00,15180.00,103.00,60.80,119.60,525.00,122.72,938.00,327.00,66.60,22.09,103.00,8464.52,60.59,133.80,486900.00,56.60,3639.01,1364.76,1050.00,499.00,5459.04,1.12,1.53,1.50,81.60,22.30,2491.18,1107.13,302.56,247.54,117.13,83.20,1.38,10600.00,130.19,20.60,96.00,35.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 260,260.00,260.00,10.00,17.50,225.00,24.00,176.00,42.00,118.00,14920.00,5130.00,20050.00,112.00,65.80,129.90,640.00,148.38,1150.00,395.00,74.74,24.26,124.00,11166.23,70.86,157.62,753700.00,61.30,4781.60,1792.98,1280.00,603.00,7171.94,1.11,1.53,1.50,91.00,24.25,2784.13,1234.66,329.02,301.56,141.54,92.60,1.50,11800.00,127.12,22.50,106.00,40.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 280,280.00,280.00,10.50,18.00,244.00,24.00,196.00,42.00,131.00,19270.00,6590.00,25860.00,121.00,70.90,140.20,765.00,176.91,1380.00,471.00,82.78,27.26,144.00,14432.09,80.00,183.40,1130000.00,66.10,6161.40,2310.84,1530.00,718.00,9243.36,1.11,1.52,1.50,100.80,27.51,3087.75,1367.63,373.25,360.67,168.64,102.80,1.62,13100.00,123.66,25.62,110.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 300,300.00,300.00,11.00,19.00,262.00,27.00,208.00,46.00,149.00,25170.00,8560.00,33730.00,130.00,75.80,150.50,935.00,214.50,1680.00,571.00,94.06,30.83,186.00,18784.95,97.89,210.75,1688000.00,70.70,8009.49,3003.19,1870.00,871.00,12012.75,1.11,1.53,1.50,114.00,30.91,3504.19,1546.72,419.38,439.24,204.50,117.00,1.73,14900.00,116.11,28.82,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 320,320.00,300.00,11.50,20.50,279.00,27.00,224.00,48.00,161.00,30820.00,9240.00,40060.00,138.00,75.70,157.40,1070.00,231.31,1930.00,616.00,100.92,34.44,226.00,23025.27,110.24,224.63,2069000.00,71.90,9210.91,3453.61,2140.00,940.00,13814.44,1.11,1.53,1.50,123.00,34.44,3792.42,1668.83,467.31,505.18,220.70,126.40,1.77,16100.00,109.94,32.09,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 340,340.00,300.00,12.00,21.50,297.00,27.00,242.00,49.00,171.00,36660.00,9690.00,46350.00,146.00,75.30,164.30,1200.00,242.53,2160.00,646.00,105.41,38.22,258.00,27310.09,120.00,238.87,2454000.00,72.80,10273.16,3851.86,2400.00,986.00,15407.44,1.11,1.53,1.50,129.00,38.22,4016.96,1750.24,518.56,566.02,231.66,134.20,1.81,17100.00,105.85,35.64,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 360,360.00,300.00,12.50,22.50,315.00,27.00,260.00,50.00,181.00,43190.00,10140.00,53330.00,155.00,74.90,172.10,1340.00,253.74,2400.00,676.00,109.89,42.17,293.00,32076.76,130.22,253.12,2883000.00,73.50,11389.63,4271.48,2680.00,1030.00,17085.94,1.12,1.52,1.50,135.00,42.19,4245.74,1831.64,572.39,630.63,242.65,142.10,1.85,18100.00,102.21,39.38,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 400,400.00,300.00,13.50,24.00,352.00,27.00,298.00,51.00,198.00,57680.00,10820.00,68500.00,171.00,74.00,186.30,1620.00,270.56,2880.00,721.00,116.70,50.64,357.00,42470.63,148.75,282.00,3817000.00,74.60,13535.46,5076.00,3240.00,1100.00,20304.00,1.13,1.53,1.50,144.00,50.76,4648.64,1953.75,688.70,759.60,259.46,155.40,1.93,19800.00,97.48,47.52,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 450,450.00,300.00,14.00,26.00,398.00,27.00,344.00,53.00,218.00,79890.00,11720.00,91610.00,191.00,73.30,204.60,1990.00,292.93,3550.00,781.00,125.48,59.40,442.00,58501.56,170.00,318.00,5258000.00,75.80,16534.59,6201.00,3980.00,1200.00,24804.00,1.12,1.54,1.50,156.00,59.36,5123.34,2116.57,805.38,936.02,281.46,171.10,2.03,21800.00,93.12,55.72,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 500,500.00,300.00,14.50,28.00,444.00,27.00,390.00,55.00,239.00,107200.00,12620.00,119820.00,212.00,72.70,224.10,2410.00,315.29,4290.00,842.00,134.20,68.69,540.00,78093.71,192.86,354.00,7018000.00,76.50,19824.86,7434.00,4820.00,1290.00,29736.00,1.12,1.53,1.50,168.00,68.44,5608.85,2279.38,928.58,1131.61,303.55,187.60,2.12,23900.00,88.70,64.38,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 550,550.00,300.00,15.00,29.00,492.00,27.00,438.00,56.00,254.00,136700.00,13080.00,149780.00,232.00,71.70,242.80,2800.00,326.48,4970.00,872.00,138.77,78.33,602.00,98544.67,207.59,390.75,8856000.00,76.90,22664.11,8498.81,5600.00,1340.00,33995.25,1.13,1.54,1.50,174.00,78.15,5971.22,2360.79,1060.32,1314.00,315.18,199.40,2.22,25400.00,87.40,73.80,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 600,600.00,300.00,15.50,30.00,540.00,27.00,486.00,57.00,270.00,171000.00,13530.00,184530.00,252.00,70.80,261.80,3210.00,337.67,5700.00,902.00,143.11,88.44,669.00,122005.01,223.00,427.50,10965000.00,77.10,25649.12,9618.75,6420.00,1390.00,38475.00,1.13,1.54,1.50,180.00,88.35,6344.87,2442.19,1198.71,1510.13,326.91,211.90,2.32,27000.00,85.93,83.70,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 650,650.00,300.00,16.00,31.00,588.00,27.00,534.00,58.00,286.00,210600.00,13980.00,224580.00,271.00,69.90,279.90,3660.00,348.85,6480.00,932.00,147.43,99.10,741.00,148722.64,239.03,464.25,13363000.00,77.10,28784.06,10793.81,7320.00,1440.00,43175.25,1.13,1.55,1.50,186.00,99.04,6729.80,2523.60,1343.75,1720.42,338.75,224.50,2.42,28600.00,84.62,94.08,120.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 700,700.00,300.00,17.00,32.00,636.00,27.00,582.00,59.00,306.00,256900.00,14440.00,271340.00,290.00,68.70,298.00,4160.00,360.05,7340.00,963.00,152.00,113.37,833.00,178779.05,260.31,501.00,16064000.00,76.90,32063.87,12024.00,8320.00,1490.00,48096.00,1.13,1.55,1.50,192.00,113.56,7200.74,2605.00,1540.75,1957.14,351.35,240.20,2.52,30600.00,82.35,108.12,126.00,45.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 800,800.00,300.00,17.50,33.00,734.00,30.00,674.00,63.00,334.00,359100.00,14900.00,374000.00,328.00,66.80,334.70,5110.00,371.54,8980.00,994.00,156.99,134.21,949.00,243014.37,287.58,575.25,21840000.00,76.40,37966.10,14237.44,10220.00,1550.00,56949.75,1.14,1.56,1.50,198.00,134.22,7854.20,2686.41,1821.13,2404.13,365.01,262.20,2.71,33400.00,81.14,128.45,130.00,40.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 900,900.00,300.00,18.50,35.00,830.00,30.00,770.00,65.00,371.00,494100.00,15820.00,509920.00,365.00,65.30,370.80,6290.00,393.86,10980.00,1050.00,165.92,159.78,1140.00,327812.91,325.71,648.75,29461000.00,76.00,45411.95,17029.69,12580.00,1660.00,68118.75,1.15,1.58,1.50,210.00,160.02,8726.05,2849.22,2171.18,2957.69,389.73,291.20,2.91,37100.00,78.44,153.55,130.00,40.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
HEB 1000,1000.00,300.00,19.00,36.00,928.00,30.00,868.00,66.00,400.00,644700.00,16280.00,660980.00,401.00,63.80,406.00,7430.00,405.02,12890.00,1090.00,170.36,182.41,1260.00,418876.08,350.00,723.00,37637000.00,75.50,52056.71,19521.00,14860.00,1710.00,78084.00,1.15,1.57,1.50,216.00,183.16,9402.14,2930.63,2485.07,3491.44,403.34,314.00,3.11,40000.00,77.75,176.32,130.00,40.00,https://www.dlubal.com/en/cross-section-properties/series-heb-euronorm-53-62-din-1025-2-szs
